Description,UOM,Price,CM_Quote Description
"BF Fiber Deployment OSP- Installation 144, 288, 576 Port Cabinet including Concrete Pedestal",Each,"20,000.00",
"Aerial Fiber Deployment - Supply & installation of approved concrete pole (includes digging, pole erection & ramming) (8m)",Each,"20,000.00",
"Brown Field Fiber Deployment OSP- 144, 288, 576 Port Cabinet Relocation and re-installation including concrete pedestal/pole mounting",Each,"20,000.00",
Hire of Scaffolding/Cherry Picker,Each,"20,000.00",
"BF Fiber Deployment OSP- Splicing, Testing and Commissioning 97-144 cores",BATCH,"23,760.00",
"Aerial Fibre Deployment OSP- Supply & installation of approved concrete pole (includes digging, pole erection & ramming) (10 & 12m)",Each,"24,500.00",
Buildings ISP Fiber Deployment- Building Acquisition,Each,"30,800.00",ISP Building Acquisition
"Aerial Fibre Deployment OSP- Supply and Installation of Fibre Reinforced Polymer (FRP) Poles (includes digging, pole erection & ramming 8m - 12m)",Each,"36,500.00",
Units ISP Fiber Deployment- Estate Acquisition Gated Community clusters (501-1000 Units ),Each,"45,760.00",
"BF Fiber Deployment OSP- Splicing, Testing and Commissioning 145-288 cores",BATCH,"47,520.00",
Units ISP Fiber Deployment- Estate Acquisition Gated Community (1001-2000 Units ),Each,"88,000.00",
"BF Fiber Deployment OSP- Splicing, Testing and Commissioning 289-576 cores",BATCH,"95,040.00",
Units ISP Fiber Deployment- Estate Acquisition Gated Community clusters (over 2000 Units ),Each,"132,000.00",
